#1|lemma	count
ⲡ	43506
ⲛ	39363
ⲛⲧⲟϥ	19411
ⲛⲧⲟⲟⲩ	15251
ⲁ	14616
ⲁⲩⲱ	12030
ⲉ	11752
ⲛⲁ	10945
ⲟⲩ	10776
ϩⲛ	10070
ⲉⲧⲉⲣⲉ	9350
ⲁⲛⲟⲕ	7542
ⲉⲣⲉ	7260
ⲛⲧⲟⲕ	6419
ⲉⲃⲟⲗ	5930
ⲛⲧⲟⲥ	5500
ϫⲉ	5437
ⲙⲛ	5434
ⲡⲉϥ	4499
ϫⲟⲉⲓⲥ	4430
ⲛⲧⲉ	4012
ⲇⲉ	3458
ⲡⲉ	3403
ⲡⲉⲕ	3314
ⲡⲁ	3171
ⲉⲓⲣⲉ	2764
ⲛⲧⲱⲧⲛ	2597
ϩⲉ	2592
ϣⲱⲡⲉ	2308
ⲡⲉⲩ	2284
ⲉϫⲛ	2216
ⲡⲁⲓ	2155
ⲧⲏⲣ	2155
ⲉϩⲣⲁⲓ	2120
ϣⲏⲣⲉ	2092
ⲛⲟⲩⲧⲉ	2077
ϫⲱ	1990
ⲁⲛⲟⲛ	1982
ⲛϭⲓ	1942
ϯ	1781
ⲉⲓ	1739
ⲕⲁϩ	1717
ⲣⲱⲙⲉ	1675
ϩⲟⲟⲩ	1566
ⲁⲛ	1490
ϣⲁϫⲉ	1472
.	1378
ⲡⲉϫⲉ	1361
ⲙⲁ	1347
ⲛⲓⲙ	1337
ϩⲏⲧ	1293
ⲓⲥⲣⲁⲏⲗ	1167
ϫⲓ	1166
ϣⲁ	1151
ⲉϩⲟⲩⲛ	1115
ⲣⲣⲟ	1086
ⲡⲉⲓ	1038
ϩⲓ	1037
ⲛⲥⲁ	1021
ⲕⲱ	1018
ⲃⲱⲕ	1016
ⲗⲁⲟⲥ	1015
ⲛⲉⲣⲉ	1004
ⲧⲣⲉ	1001
ⲅⲁⲣ	942
ⲙⲡⲉ	916
ⲉⲧⲃⲉ	895
ⲥⲱⲧⲙ	881
ⲡⲉⲧⲛ	844
ⲛⲁⲩ	833
ⲏⲓ	819
ϣⲁⲣⲉ	812
ⲙⲧⲟ	752
ⲙⲙⲁⲩ	748
ⲡⲟⲗⲓⲥ	728
ϭⲓϫ	715
ⲇⲁⲩⲉⲓⲇ	707
ϩⲓϫⲛ	681
ⲡⲉⲥ	677
ϩⲁ	674
ⲟⲩⲱϩ	665
ⲙⲟⲩ	644
ⲡⲉⲛ	622
ⲕⲁⲧⲁ	621
ϩⲓⲏ	620
ⲙⲡⲣ	620
ϩⲱⲃ	612
ⲟⲩⲁ	610
ⲕⲉ	604
ϩⲙϩⲁⲗ	604
ⲉⲓⲥ	592
ⲧⲙ	566
ⲙⲟⲟϣⲉ	545
ⲉⲓⲱⲧ	538
ⲯⲩⲭⲏ	538
ⲟⲩⲱⲙ	533
ⲥϩⲓⲙⲉ	520
ⲛⲟϭ	507
ⲣⲁⲛ	491
ϫⲓⲥⲉ	487
ⲧⲁⲕⲟ	481
ⲡⲟⲩ	480
ⲛⲛⲉ	477
ϥⲓ	473
ⲉⲓⲛⲉ	468
ⲉⲛⲉϩ	467
ⲧⲱⲟⲩⲛ	463
ⲥⲙⲟⲩ	461
ϭⲟⲙ	458
ⲏ	443
ϫⲓⲛ	439
ⲙⲁⲣⲉ	433
ⲱⲛϩ	431
ϩⲣⲁⲓ	422
ϩⲉⲑⲛⲟⲥ	422
ⲙⲉ	419
ⲉⲧⲛ	413
ⲕⲧⲟ	413
ⲙⲱⲩⲥⲏⲥ	412
ϩⲱⲛ	409
ⲡⲱⲧ	408
ⲥⲟⲟⲩⲛ	405
ⲉⲣⲁⲧ	400
ⲡⲓ	389
ⲧⲟⲟⲩ	389
ϭⲉ	388
ⲟⲩⲇⲉ	387
ⲟⲩⲛ	386
ⲙⲉⲉⲩⲉ	374
ϩⲏⲏⲧⲉ	373
ⲥⲁⲟⲩⲗ	372
UNKNOWN	361
ⲛⲧⲟ	360
ⲉⲓⲙⲉ	355
ⲟⲩⲟⲡ	354
ⲧⲉⲛⲟⲩ	352
ⲙⲏⲧⲉ	351
ⲕⲏⲙⲉ	350
ⲉⲣⲉ_ⲛⲧⲟⲕ	348
ⲛⲟⲃⲉ	345
ϣⲓⲛⲉ	344
ϩⲏ	343
ⲃⲁⲗ	330
